feature,importance
tenure,0.16335657753250762
Contract_Two year,0.13294226729694172
Contract_Month-to-month,0.11870865637161397
InternetService_Fiber optic,0.07787788513365841
PaymentMethod_Electronic check,0.07075066144798636
OnlineSecurity_No,0.06874414625545056
TenureGroup_48-72,0.06228266177666506
TechSupport_No,0.059639636137347025
TenureGroup_12-24,0.05038082107498885
TotalCharges,0.04265376723795004
PaperlessBilling,0.038360225331605484
AvgChargesPerMonth,0.03315284257260447
OnlineBackup_No,0.02863685907025439
TenureGroup_0-12,0.026541839010213397
MonthlyCharges,0.025971153750212556
